Sorting,50,100,150,200,250,
MergeSortNaive,51778.89447236181,112716.5,130223,150794,157444.5,
MergeSortLinear,55075,86377.5,129402,152041.5,158679,
QuickSort,55351.5,96184,118736,135303.5,148227.5,
QuickSortResort,54187.5,79913,126992.5,144605.5,160638.5,
